name,Composition,Majority composition,Closest competing phase distance,Farthest competing phase distance,Stoichiometry complexity index,Formation energy,Normalized formation energy,Gradient difference,Normalized gradient difference,Decomposition energy,Normalized decomposition energy,Atomic radius ratio,Atomic mass_avg,Electronegativity_avg,Atomic radius_avg,Ionization energy_avg,Electron affinity_avg,Melting temperature_avg,Boiling temperature_avg,Density_avg,Latent heat_avg,Atomic number_avg,Mendeleev number_avg,Periodic table row_avg,Periodic table column_avg,Molar volume_avg,Valence electrons_avg,Valence electrons s_avg,Valence electrons p_avg,Valence electrons d_avg,Valence electrons f_avg,Unfilled electrons s_avg,Unfilled electrons p_avg,Unfilled electrons d_avg,Unfilled electrons f_avg,Lattice average_avg,Lattice sdev_avg,Angle sdev_avg,Atomic mass_max,Electronegativity_max,Atomic radius_max,Ionization energy_max,Electron affinity_max,Melting temperature_max,Boiling temperature_max,Density_max,Latent heat_max,Atomic number_max,Mendeleev number_max,Periodic table row_max,Periodic table column_max,Molar volume_max,Valence electrons_max,Valence electrons s_max,Valence electrons p_max,Valence electrons d_max,Valence electrons f_max,Unfilled electrons s_max,Unfilled electrons p_max,Unfilled electrons d_max,Unfilled electrons f_max,Lattice average_max,Lattice sdev_max,Angle sdev_max,Atomic mass_min,Electronegativity_min,Atomic radius_min,Ionization energy_min,Electron affinity_min,Melting temperature_min,Boiling temperature_min,Density_min,Latent heat_min,Atomic number_min,Mendeleev number_min,Periodic table row_min,Periodic table column_min,Molar volume_min,Valence electrons_min,Valence electrons s_min,Valence electrons p_min,Valence electrons d_min,Valence electrons f_min,Unfilled electrons s_min,Unfilled electrons p_min,Unfilled electrons d_min,Unfilled electrons f_min,Lattice average_min,Lattice sdev_min,Angle sdev_min,Atomic mass_dif,Electronegativity_dif,Atomic radius_dif,Ionization energy_dif,Electron affinity_dif,Melting temperature_dif,Boiling temperature_dif,Density_dif,Latent heat_dif,Atomic number_dif,Mendeleev number_dif,Periodic table row_dif,Periodic table column_dif,Molar volume_dif,Valence electrons_dif,Valence electrons s_dif,Valence electrons p_dif,Valence electrons d_dif,Valence electrons f_dif,Unfilled electrons s_dif,Unfilled electrons p_dif,Unfilled electrons d_dif,Unfilled electrons f_dif,Lattice average_dif,Lattice sdev_dif,Angle sdev_dif,Melting,CommonPair,Congruency
AcAg,0.5,0,0.25,0.5,2,-0.272047398,1,1.039991128,3.822830638,0.173331855,-0.63713844,1.511627907,167.447875,1.515,216,6.373,0.844831,1279.465,2953,10.2855,12.65,68,39.5,6,15,1.64E-05,7,1.5,0,5,0.5,0.5,6,5,13.5,0.469865,0,0,227.02775,1.93,260,7.576,0.942362,1324,3471,10.501,14,89,65,7,19,2.25E-05,11,2,0,10,1,1,6,10,14,0.5311,0,0,107.868,1.1,172,5.17,0.7473,1234.93,2435,10.07,11.3,47,14,5,11,1.03E-05,3,1,0,0,0,0,6,0,13,0.40863,0,0,119.15975,0.83,88,2.406,0.195062,89.07,1036,0.431,2.7,42,51,2,8,1.22E-05,8,1,0,10,1,1,0,10,1,0.12247,0,0,,,
AcAl3,0.25,0.25,0.25,0.75,4,-0.369206961,1,1.969103792,5.333333333,0.369206961,-1,1.413043478,76.993091,1.4825,203,5.782,2.78648285,1031.07775,2961.75,4.5425,11.525,32,58.25,4,14.5,1.31E-05,3,2,0.75,0,0.25,0,5.25,10,13.75,0.436495,0,0,227.02775,1.61,260,5.986,3.4011898,1324,3471,10.07,14,89,73,7,19,2.25E-05,3,2,1,0,1,0,6,10,14,0.5311,0,0,26.981538,1.1,184,5.17,0.942362,933.437,2792,2.7,10.7,13,14,3,13,9.99E-06,3,2,0,0,0,0,5,10,13,0.40496,0,0,200.046212,0.51,76,0.816,2.4588278,390.563,679,7.37,3.3,76,59,4,6,1.25E-05,0,0,1,0,1,0,1,0,1,0.12614,0,0,,,
AcAs,0.5,0,0.5,0.5,2,-1.485836726,1,5.943346904,4,1.485836726,-1,1.405405405,150.97467,1.64,222.5,7.4925,1.049761,1207,2179,7.923,20.85,61,49,5.5,17,1.78E-05,4,2,1.5,5,0.5,0,4.5,5,13.5,0.566668334,0.195944021,8.66025404,227.02775,2.18,260,9.815,1.15716,1324,3471,10.07,27.7,89,84,7,19,2.25E-05,5,2,3,10,1,0,6,10,14,0.602236667,0.391888042,17.32050808,74.92159,1.1,185,5.17,0.942362,1090,887,5.776,14,33,14,4,15,1.31E-05,3,2,0,0,0,0,3,0,13,0.5311,0,0,152.10616,1.08,75,4.645,0.214798,234,2584,4.294,13.7,56,70,3,4,9.40E-06,2,0,3,10,1,0,3,10,1,0.071136667,0.391888042,17.32050808,,,
AcAu,0.5,0,0.25,0.5,2,-0.778756314,1,2.119874552,2.722128237,0.353312425,-0.453688039,1.56626506,211.99716,1.82,213,7.198,0.632681,1330.665,3300,14.676,13.25,84,40,6.5,15,1.64E-05,7,1.5,0,5,7.5,0.5,6,5,6.5,0.46949,0,0,227.02775,2.54,260,9.226,0.942362,1337.33,3471,19.282,14,89,66,7,19,2.25E-05,11,2,0,10,14,1,6,10,13,0.5311,0,0,196.96657,1.1,166,5.17,0.323,1324,3129,10.07,12.5,79,14,6,11,1.02E-05,3,1,0,0,1,0,6,0,0,0.40788,0,0,30.06118,1.44,94,4.056,0.619362,13.33,342,9.212,1.5,10,52,1,8,1.23E-05,8,1,0,10,13,1,0,10,13,0.12322,0,0,,,
AcAu3,0.25,0.25,0.25,0.25,4,-0.638165833,0.819467941,1.990301408,2.555743527,0.248787676,-0.319467941,1.56626506,204.481865,2.18,189.5,8.212,0.4778405,1333.9975,3214.5,16.979,12.875,81.5,53,6.25,13,1.33E-05,9,1.25,0,7.5,10.75,0.75,6,2.5,3.25,0.438685,0,0,227.02775,2.54,260,9.226,0.942362,1337.33,3471,19.282,14,89,66,7,19,2.25E-05,11,2,0,10,14,1,6,10,13,0.5311,0,0,196.96657,1.1,166,5.17,0.323,1324,3129,10.07,12.5,79,14,6,11,1.02E-05,3,1,0,0,1,0,6,0,0,0.40788,0,0,30.06118,1.44,94,4.056,0.619362,13.33,342,9.212,1.5,10,52,1,8,1.23E-05,8,1,0,10,13,1,0,10,13,0.12322,0,0,,,
AcBi,0.5,0,0.25,0.5,2,-1.022543316,1,3.948661472,3.861608022,0.658110245,-0.643601337,1.256038647,218.004075,1.56,233.5,6.2295,1.2532095,934.275,2654,9.9385,12.45,86,50,6.5,17,2.19E-05,4,2,1.5,5,7.5,0,4.5,5,6.5,0.614785,0.211206276,8.66025404,227.02775,2.02,260,7.289,1.564057,1324,3471,10.07,14,89,86,7,19,2.25E-05,5,2,3,10,14,0,6,10,13,0.69847,0.422412551,17.32050808,208.9804,1.1,207,5.17,0.942362,544.55,1837,9.807,10.9,83,14,6,15,2.14E-05,3,2,0,0,1,0,3,0,0,0.5311,0,0,18.04735,0.92,53,2.119,0.621695,779.45,1634,0.263,3.1,6,72,1,4,1.10E-06,2,0,3,10,13,0,3,10,13,0.16737,0.422412551,17.32050808,,,
AcBi3,0.25,0.25,0.25,0.25,4,-0.546649606,0.534597994,0.283023584,0.276783956,0.035377948,-0.034597994,1.256038647,213.4922375,1.79,220.25,6.75925,1.40863325,739.4125,2245.5,9.87275,11.675,84.5,68,6.25,16,2.17E-05,4.5,2,2.25,7.5,10.75,0,3.75,2.5,3.25,0.6566275,0.316809413,12.99038106,227.02775,2.02,260,7.289,1.564057,1324,3471,10.07,14,89,86,7,19,2.25E-05,5,2,3,10,14,0,6,10,13,0.69847,0.422412551,17.32050808,208.9804,1.1,207,5.17,0.942362,544.55,1837,9.807,10.9,83,14,6,15,2.14E-05,3,2,0,0,1,0,3,0,0,0.5311,0,0,18.04735,0.92,53,2.119,0.621695,779.45,1634,0.263,3.1,6,72,1,4,1.10E-06,2,0,3,10,13,0,3,10,13,0.16737,0.422412551,17.32050808,,,
AcBr3,0.25,0.25,0.25,0.75,4,-2.332974492,1,12.44253062,5.333333333,2.332974492,-1,1.420765027,116.6819375,2.495,202.25,10.153,-0.2144095,530.4625,1116.7125,4.85,7.85,48.5,74.75,4.75,17.5,2.48E-05,6,2,3.75,7.5,0.25,0,2.25,2.5,13.75,0.633925,0.158027883,0,227.02775,2.96,260,11.814,0.942362,1324,3471,10.07,14,89,95,7,19,2.56E-05,7,2,5,10,1,0,6,10,14,0.6682,0.210703844,0,79.9,1.1,183,5.17,-0.6,265.95,331.95,3.11,5.8,35,14,4,17,2.25E-05,3,2,0,0,0,0,1,0,13,0.5311,0,0,147.12775,1.86,77,6.644,1.542362,1058.05,3139.05,6.96,8.2,54,81,3,2,3.10E-06,4,0,5,10,1,0,5,10,1,0.1371,0.210703844,0,,,
AcCd,0.5,0,0.25,0.5,2,-0.304811264,1,0.966291632,3.170130983,0.161048605,-0.528355164,1.64556962,169.718875,1.395,209,7.082,0.746181,959.11,2255.5,9.38,10.15,68.5,42,6,15.5,1.78E-05,7.5,2,0,5,0.5,0,6,5,13.5,0.458466667,0.076161161,8.66025404,227.02775,1.69,260,8.994,0.942362,1324,3471,10.07,14,89,70,7,19,2.25E-05,12,2,0,10,1,0,6,10,14,0.5311,0.152322322,17.32050808,112.41,1.1,158,5.17,0.55,594.22,1040,8.69,6.3,48,14,5,12,1.30E-05,3,2,0,0,0,0,6,0,13,0.385833333,0,0,114.61775,0.59,102,3.824,0.392362,729.78,2431,1.38,7.7,41,56,2,7,9.50E-06,9,0,0,10,1,0,0,10,1,0.145266667,0.152322322,17.32050808,,,
AcCd3,0.25,0.25,0.25,0.25,4,-0.215643988,0.707467254,0.505906848,1.659738033,0.063238356,-0.207467254,1.64556962,141.0644375,1.5425,183.5,8.038,0.6480905,776.665,1647.75,9.035,8.225,58.25,56,5.5,13.75,1.54E-05,9.75,2,0,7.5,0.25,0,6,2.5,13.75,0.42215,0.114241742,12.99038106,227.02775,1.69,260,8.994,0.942362,1324,3471,10.07,14,89,70,7,19,2.25E-05,12,2,0,10,1,0,6,10,14,0.5311,0.152322322,17.32050808,112.41,1.1,158,5.17,0.55,594.22,1040,8.69,6.3,48,14,5,12,1.30E-05,3,2,0,0,0,0,6,0,13,0.385833333,0,0,114.61775,0.59,102,3.824,0.392362,729.78,2431,1.38,7.7,41,56,2,7,9.50E-06,9,0,0,10,1,0,0,10,1,0.145266667,0.152322322,17.32050808,,,
AcCl3,0.25,0.25,0.25,0.75,4,-2.760341085,1,14.72181912,5.333333333,2.760341085,-1,1.485714286,83.3444375,2.645,196.25,11.0185,0.560213,459.7375,1047.0825,2.5199105,5.9,35,74,4,17.5,0.008278875,6,2,3.75,0,0.25,0,2.25,10,13.75,0.6075425,0.135981623,0,227.02775,3.16,260,12.968,0.942362,1324,3471,10.07,14,89,94,7,19,0.011031,7,2,5,0,1,0,6,10,14,0.633023333,0.18130883,0,35.45,1.1,175,5.17,0.43283,171.65,239.11,0.003214,3.2,17,14,3,17,2.25E-05,3,2,0,0,0,0,1,10,13,0.5311,0,0,191.57775,2.06,85,7.798,0.509532,1152.35,3231.89,10.066786,10.8,72,80,4,2,0.0110085,4,0,5,0,1,0,5,0,1,0.101923333,0.18130883,0,,,
Ac2Co,0.666666667,0.166666667,0.333333333,0.666666667,3,-0.041621268,1,0.187295706,4.5,0.041621268,-1,1.354166667,170.9962301,1.36,237.3333334,6.073666666,0.653421334,1472,3380.666667,9.666666667,14.73333333,68.33333335,28.66666665,6.000000001,15.66666667,1.72E-05,4.999999998,2,0,2.333333331,0.666666667,0,6,7.666666669,13.33333333,0.455037778,0.030035686,5.773502688,227.02775,1.88,260,7.881,0.942362,1768,3471,10.07,16.2,89,58,7,19,2.25E-05,9,2,0,7,1,0,6,10,14,0.5311,0.090107057,17.32050808,58.93319,1.1,192,5.17,0.07554,1324,3200,8.86,14,27,14,4,9,6.62E-06,3,2,0,0,0,0,6,3,13,0.302913333,0,0,168.09456,0.78,68,2.711,0.866822,444,271,1.21,2.2,62,44,3,10,1.59E-05,6,0,0,7,1,0,0,7,1,0.228186667,0.090107057,17.32050808,,,
AcCu,0.5,0,0.5,0.5,2,-0.088273444,1,0.353093776,4,0.088273444,-1,1.857142857,145.288875,1.5,200,6.448,0.809101,1340.885,3153,9.5015,13.55,59,39,5.5,15,1.48E-05,7,1.5,0,5,0.5,0.5,6,5,13.5,0.44631,0,0,227.02775,1.9,260,7.726,0.942362,1357.77,3471,10.07,14,89,64,7,19,2.25E-05,11,2,0,10,1,1,6,10,14,0.5311,0,0,63.55,1.1,140,5.17,0.67584,1324,2835,8.933,13.1,29,14,4,11,7.12E-06,3,1,0,0,0,0,6,0,13,0.36152,0,0,163.47775,0.8,120,2.556,0.266522,33.77,636,1.137,0.9,60,50,3,8,1.54E-05,8,1,0,10,1,1,0,10,1,0.16958,0,0,,,
AcF3,0.25,0.25,0.25,0.75,4,-4.489832001,1,23.94577067,5.333333332,4.489832001,-1,1.925925926,71.00573987,3.26,166.25,14.35975,0.1830905,371.1475,931.5225,2.518772,3.695,29,73.25,3.25,17.5,0.008407125,6,2,3.75,0,0.25,0,2.25,10,13.75,0.633025,1.02E-16,0,227.02775,3.98,260,17.423,0.942362,1324,3471,10.07,14,89,93,7,19,0.011202,7,2,5,0,1,0,6,10,14,0.667,1.36E-16,0,18.99840316,1.1,135,5.17,-0.07,53.53,85.03,0.001696,0.26,9,14,2,17,2.25E-05,3,2,0,0,0,0,1,10,13,0.5311,0,0,208.0293468,2.88,125,12.253,1.012362,1270.47,3385.97,10.068304,13.74,80,79,5,2,0.0111795,4,0,5,0,1,0,5,0,1,0.1359,1.36E-16,0,,,
AcGa,0.5,0,0.25,0.5,2,-0.435476266,0.811622397,0.466656272,0.869734384,0.077776045,-0.144955731,1.390374332,148.375375,1.455,223.5,5.5845,0.547799,813.455,2974,7.99,9.795,60,44,5.5,16,1.72E-05,3,2,0.5,5,0.5,0,5.5,5,13.5,0.852116667,0.229005985,8.66025404,227.02775,1.81,260,5.999,0.942362,1324,3471,10.07,14,89,74,7,19,2.25E-05,3,2,1,10,1,0,6,10,14,1.173133333,0.458011969,17.32050808,69.723,1.1,187,5.17,0.153236,302.91,2477,5.91,5.59,31,14,4,13,1.18E-05,3,2,0,0,0,0,5,0,13,0.5311,0,0,157.30475,0.71,73,0.829,0.789126,1021.09,994,4.16,8.41,58,60,3,6,1.07E-05,0,0,1,10,1,0,1,10,1,0.642033333,0.458011969,17.32050808,,,
AcGa3,0.25,0.25,0.25,0.25,4,-0.536550331,1,2.550497584,4.75351041,0.318812198,-0.594188801,1.390374332,109.0491875,1.6325,205.25,5.79175,0.3505175,558.1825,2725.5,6.95,7.6925,45.5,59,4.75,14.5,1.45E-05,3,2,0.75,7.5,0.25,0,5.25,2.5,13.75,1.012625,0.343508977,12.99038106,227.02775,1.81,260,5.999,0.942362,1324,3471,10.07,14,89,74,7,19,2.25E-05,3,2,1,10,1,0,6,10,14,1.173133333,0.458011969,17.32050808,69.723,1.1,187,5.17,0.153236,302.91,2477,5.91,5.59,31,14,4,13,1.18E-05,3,2,0,0,0,0,5,0,13,0.5311,0,0,157.30475,0.71,73,0.829,0.789126,1021.09,994,4.16,8.41,58,60,3,6,1.07E-05,0,0,1,10,1,0,1,10,1,0.642033333,0.458011969,17.32050808,,,
AcGe,0.5,0,0.25,0.5,2,-0.540972036,1,1.511893368,2.794771758,0.251982228,-0.465795293,1.232227488,149.828875,1.555,235.5,6.535,0.802311,1267.7,3288.5,7.6965,22.9,60.5,46.5,5.5,16.5,1.81E-05,3.5,2,1,5,0.5,0,5,5,13.5,0.548445,0,0,227.02775,2.01,260,7.9,0.942362,1324,3471,10.07,31.8,89,79,7,19,2.25E-05,4,2,2,10,1,0,6,10,14,0.56579,0,0,72.63,1.1,211,5.17,0.66226,1211.4,3106,5.323,14,32,14,4,14,1.36E-05,3,2,0,0,0,0,4,0,13,0.5311,0,0,154.39775,0.91,49,2.73,0.280102,112.6,365,4.747,17.8,57,65,3,5,8.90E-06,1,0,2,10,1,0,2,10,1,0.03469,0,0,,,
AcGe3,0.25,0.25,0.25,0.25,4,-0.433484712,0.801307061,1.303989552,2.410456486,0.162998694,-0.301307061,1.232227488,111.2294375,1.7825,223.25,7.2175,0.7322855,1239.55,3197.25,6.50975,27.35,46.25,62.75,4.75,15.25,1.58E-05,3.75,2,1.5,7.5,0.25,0,4.5,2.5,13.75,0.5571175,0,0,227.02775,2.01,260,7.9,0.942362,1324,3471,10.07,31.8,89,79,7,19,2.25E-05,4,2,2,10,1,0,6,10,14,0.56579,0,0,72.63,1.1,211,5.17,0.66226,1211.4,3106,5.323,14,32,14,4,14,1.36E-05,3,2,0,0,0,0,4,0,13,0.5311,0,0,154.39775,0.91,49,2.73,0.280102,112.6,365,4.747,17.8,57,65,3,5,8.90E-06,1,0,2,10,1,0,2,10,1,0.03469,0,0,,,
AcH2,0.333333333,0.166666667,0.083333333,0.666666667,3,-0.568285374,1,1.104973198,1.944398446,0.081849866,-0.144029514,2.166666667,76.34791659,1.833333334,166.6666666,10.78866667,0.816917333,450.5399996,1170.519999,3.356726597,5.038666662,30.3333333,66.00000003,2.999999998,6.999999994,0.007480833,1.666666666,1.333333333,0,0,0.333333333,0.666666667,6,10,13.66666667,0.482166667,0.091798693,11.54700539,227.02775,2.2,260,13.598,0.942362,1324,3471,10.07,14,89,92,7,19,0.01121,3,2,0,0,1,1,6,10,14,0.5311,0.137698039,17.32050808,1.008,1.1,120,5.17,0.754195,13.81,20.28,8.99E-05,0.558,1,14,1,1,2.25E-05,1,1,0,0,0,0,6,10,13,0.4577,0,0,226.01975,1.1,140,8.428,0.188167,1310.19,3450.72,10.0699101,13.442,88,78,6,18,0.0111875,2,1,0,0,1,1,0,0,1,0.0734,0.137698039,17.32050808,,,
AcH3,0.25,0.25,0.083333333,0.25,4,-0.547239946,0.962966796,1.936414647,3.407468738,0.121025915,-0.212966796,2.166666667,57.5129375,1.925,155,11.491,0.80123675,341.3575,882.96,2.517567425,3.9185,23,72.5,2.5,5.5,0.008413125,1.5,1.25,0,0,0.25,0.75,6,10,13.75,0.47605,0.103273529,12.99038106,227.02775,2.2,260,13.598,0.942362,1324,3471,10.07,14,89,92,7,19,0.01121,3,2,0,0,1,1,6,10,14,0.5311,0.137698039,17.32050808,1.008,1.1,120,5.17,0.754195,13.81,20.28,8.99E-05,0.558,1,14,1,1,2.25E-05,1,1,0,0,0,0,6,10,13,0.4577,0,0,226.01975,1.1,140,8.428,0.188167,1310.19,3450.72,10.0699101,13.442,88,78,6,18,0.0111875,2,1,0,0,1,1,0,0,1,0.0734,0.137698039,17.32050808,,,
AcHg,0.5,0,0.25,0.5,2,-0.445585841,1,1.236827614,2.775733653,0.206137936,-0.462622275,1.244019139,213.808875,1.55,234.5,7.804,0.879311,779.16,2050.44,11.8018,8.145,84.5,42.5,6.5,15.5,1.87E-05,7.5,2,0,5,7.5,0,6,5,6.5,0.492321667,0.092754208,8.66025404,227.02775,2,260,10.438,0.942362,1324,3471,13.5336,14,89,71,7,19,2.25E-05,12,2,0,10,14,0,6,10,13,0.5311,0.185508415,17.32050808,200.59,1.1,209,5.17,0.81626,234.32,629.88,10.07,2.29,80,14,6,12,1.48E-05,3,2,0,0,1,0,6,0,0,0.453543333,0,0,26.43775,0.9,51,5.268,0.126102,1089.68,2841.12,3.4636,11.71,9,57,1,7,7.70E-06,9,0,0,10,13,0,0,10,13,0.077556667,0.185508415,17.32050808,,,
AcHg3,0.25,0.25,0.25,0.25,4,-0.359171858,0.806066587,1.0910315,2.448532695,0.136378938,-0.306066587,1.244019139,207.1994375,1.775,221.75,9.121,0.8477855,506.74,1340.16,12.6677,5.2175,82.25,56.75,6.25,13.75,1.67E-05,9.75,2,0,7.5,10.75,0,6,2.5,3.25,0.4729325,0.139131311,12.99038106,227.02775,2,260,10.438,0.942362,1324,3471,13.5336,14,89,71,7,19,2.25E-05,12,2,0,10,14,0,6,10,13,0.5311,0.185508415,17.32050808,200.59,1.1,209,5.17,0.81626,234.32,629.88,10.07,2.29,80,14,6,12,1.48E-05,3,2,0,0,1,0,6,0,0,0.453543333,0,0,26.43775,0.9,51,5.268,0.126102,1089.68,2841.12,3.4636,11.71,9,57,1,7,7.70E-06,9,0,0,10,13,0,0,10,13,0.077556667,0.185508415,17.32050808,,,
AcI3,0.25,0.25,0.25,0.75,4,-1.627611437,1,8.680594331,5.333333334,1.627611437,-1,1.313131313,151.9353125,2.27,213.5,9.13075,-0.2894095,621.1375,1210.9125,6.215,9.32,62,75.5,5.5,17.5,2.49E-05,6,2,3.75,7.5,0.25,0,2.25,2.5,13.75,0.6752925,0.191285159,0,227.02775,2.66,260,10.451,0.942362,1324,3471,10.07,14,89,96,7,19,2.57E-05,7,2,5,10,1,0,6,10,14,0.723356667,0.255046878,0,126.9045,1.1,198,5.17,-0.7,386.85,457.55,4.93,7.76,53,14,5,17,2.25E-05,3,2,0,0,0,0,1,0,13,0.5311,0,0,100.12325,1.56,62,5.281,1.642362,937.15,3013.45,5.14,6.24,36,82,2,2,3.20E-06,4,0,5,10,1,0,5,10,1,0.192256667,0.255046878,0,,,
AcIn,0.5,0,0.25,0.5,2,-0.430089069,1,0.899451722,2.091315002,0.14990862,-0.3485525,1.347150259,170.922875,1.44,226.5,5.478,0.994371,876.875,2908,8.69,8.63,69,44.5,6,16,1.91E-05,3,2,0.5,5,0.5,0,5.5,5,13.5,0.456411667,0.048872701,0,227.02775,1.78,260,5.786,1.04638,1324,3471,10.07,14,89,75,7,19,2.25E-05,3,2,1,10,1,0,6,10,14,0.5311,0.097745401,0,114.818,1.1,193,5.17,0.942362,429.75,2345,7.31,3.26,49,14,5,13,1.57E-05,3,2,0,0,0,0,5,0,13,0.381723333,0,0,112.20975,0.68,67,0.616,0.104018,894.25,1126,2.76,10.74,40,61,2,6,6.80E-06,0,0,1,10,1,0,1,10,1,0.149376667,0.097745401,0,,,
